Initial data:
|Name      |Shots taken|Points per game  |Points per shot|
------------------------------------------------------------
|1 |Player1   |          5|            20.95|           0.00|
|2 |Player2   |          7|            31.65|           0.00|
|3 |Player3   |         13|            41.01|           0.00|
|4 |Player4   |         14|             5.13|           0.00|
|5 |Player5   |          2|             3.95|           0.00|
|6 |Player6   |          6|             4.13|           0.00|
|7 |Player7   |          4|            14.01|           0.00|
|8 |Player8   |          5|            15.65|           0.00|
|9 |Player9   |          7|            36.43|           0.00|
|10|Player10  |          8|            36.95|           0.00|
|11|Player11  |         10|             0.13|           0.00|
|12|Player12  |          1|             3.01|           0.00|
|13|Player13  |          2|             4.65|           0.00|
|14|Player14  |          5|             7.32|           0.00|
|15|Player15  |          3|             5.85|           0.00|
|16|Player16  |          1|            10.95|           0.00|
|17|Player17  |          3|            22.15|           0.00|
|18|Player18  |          3|            26.77|           0.00|
|19|Player19  |          3|            20.43|           0.00|
|20|Player20  |          2|             4.65|           0.00|
|21|Player21  |          5|             7.32|           0.00|
|22|Player22  |          3|             5.85|           0.00|
|23|Player23  |          2|            22.11|           0.00|
|24|Player24  |          3|            15.13|           0.00|
|25|Player25  |          2|            16.01|           0.00|
|26|Player26  |          2|             3.95|           0.00|
|27|Player27  |          6|             4.13|           0.00|
|28|Player28  |          4|            14.01|           0.00|
|29|Player29  |          5|            15.65|           0.00|
|30|Player30  |          5|            20.95|           0.00|
|31|Player31  |          7|            31.65|           0.00|
|32|Player32  |         13|            41.01|           0.00|
|33|Player33  |         14|             5.13|           0.00|
------------------------------------------------------------
Results data:
------------------------------------------------------------
|1 |Player23  |          2|            22.11|          11.05|
|2 |Player16  |          1|            10.95|          10.95|
|3 |Player18  |          3|            26.77|           8.92|
|4 |Player25  |          2|            16.01|           8.01|
|5 |Player17  |          3|            22.15|           7.38|
|6 |Player19  |          3|            20.43|           6.81|
|7 |Player9   |          7|            36.43|           5.20|
|8 |Player24  |          3|            15.13|           5.04|
------------------------------------------------------------
